content,sentiment
not my keluargamalaysia not even if you said you dont mean it in tomorrow s headline deceived us too many times notmypm,negative
notmypm not of our country u bastard running post against pm pm is selected by majority and not hundred percent vote go and hide in your mother s chu till u get majority for naakwali,negative
notmypm imnotyourkeluargamalaysia racist malaysia,negative
blaming propaganda machines is a scapegoat for living the unexamined life the unexamined life is deprived of the meaning and purpose of existence truth covidnsw girlsplanet joy notmypm uranium whatif xiaozhan zonajajan,negative
ma ell mekkkk if this is not racist then what is it when you passionately vocally reminded malaysfightkeeptheir special rights privileges amp warn them that the non malays are out to take away their rights you inciting fear hatred of malays on non malays keluargamalaysia notmypm,negative
mkini bm sendiri tau sendiri cakap tapi msh tak malu nak megah jadi pm tak menang pru tapi jadi kerajaan notmypm,neutral
ya no shit they won keluargamalaysia notmypm,negative
nahh there you go you re not my family ismailsabri and definitely notmypm go your self kenapa semua org ada family issues ke apa ni dulu abah dah yg ni acah nak jadi family pulak tak teringin aku jadi adik beradik dafi,positive
notmypm nationalflag boycott modi such hain or sb ke liye beneficial hain boycotttmodi naah chaheye modi or yaah yogi bs boycottmodi,positive
zack rockstar muke menteri surat kabar recyle what do you expect sah laa bertahan setakat setahun lebih atau kurang bulan je siap bookmark komen aku k aku dtg drpd mase depan korg semua notmypm,neutral
satpal sidhull notmypm jai kisan,neutral
a timely quote for malaysians who seems to have lost hope after getting mael as pm and reportedly getting jimin as tpm chin up guys we didnt lose the election it was stolen next one is probably next year dont lose hope reformasi lawan notmypm kerajaangagal,negative
azmin semburit yang paling benci kepala otak kau tpm azminsemburit notmypm kerajaangagal lawan,neutral
pm called to end to power grab right after umno just grabbed one pm pkr dap notmypm,neutral
the ppc will put women back in their place the kitchen on sept th voteppc team max peoplespca ppc retweets maximebernier notmypm notmypresident trump ppc peoplesparty canada election electionscanada elections canadian maximebernier,neutral
mail got the whole spotlight to gain trust and what he did or the media or whatever pr team behind it wasted all the opportunities can you please straight to the point to serve the nation takyah nak iv anak lah kisah cinta lah itu nantilah wake up ah notmypm,positive
and the completely disheartening part is they were promoted despite having the blood of the people in their hands umno pngovtkleptokrat has now fallen to a new low allah is watching all of you i rest my case notmypm notmyfamily,negative
welcome to the reign of sin amp sinner one removed quarantine just for the heck of it and caused the increase of covid nos and the other heartlessly ignored factory clusters and caused a real emergency which forced the ppl into dire situations amp pushed them over the edge notmypm,negative
chinese police have handcuffed and tortured a burmese worker who called the burmese embassy for help in rescuing more than burmese workers sent to the nanshi factory eastern china in shandong province china laboraffairs jayb notmypm,negative
notmypm whovotedhim toryincompetence,neutral
chinese police have handcuffed and tortured a burmese worker who called the burmese embassy for help in rescuing more than burmese workers sent to the nanshi factory eastern china in shandong province china labor affairs abc burmese embassy notmypm nanshi jisoo,negative
baru dua hari jadi pm sibuk la nak cerita pasal appreciation post pasal family dia pasal orang sekeliling dia la allahu dia tahu tak beza jadi ketua keluarga dengan ketua negara notmypm,positive
whose hosting is good for emk emkbyntrongeminitv massgodntrsemkpremiere evarumeelokoteeswaruluongeminitv evarumeelokoteeswarulu teamcena uranium ynwa altcoins avfc girlsplanet notmypm xlm zonajajan loveisland kalyansingh jake,positive
walaupun kabinet menteri ini bukanlah yang dipilih oleh majoriti rakyat ketika pru namun polisi dan dasar kesejahteraan rakyat tetap perlu dijadikan asas dan sebagai rakyat tetap kritik setiap tindakan kabinet pentadbiran ini ok notmypm kerajaangagal,positive
dan saya mengharapkan golongan rentan diberi keutamaan namun dalam masa yang sama ramai golongan m beralih ke b dek kerana pandemik justeru pelan komprehensif membantu ekonomi masyarakat amat penting notmypm dengan kabinetnya perlu segera bentangkan polisi ini,neutral
rhhassall only the humiliation of what passes for a national government here in the uk pressure from constituents of his back benches is more likely to result in recognition of the uk obligations to which notmypm committed us first as foreign secretar,negative
in this canadian election there is one real choice and that choice is the ppc they will finally deport those homos canada notmypm voteppc votetrudeauout killallhomos ihatethegays notmypresident elections electionscanada peoplespca supportersofppc,neutral
nasib melayu perompak yang nak merompak senang je kasi melayu percaya si perompak sebenarnya nak tolong melayu dari kena tipu cina melayu pun percaya lepastu kena dengan perompak pastu datang lagi perompak lain pakai strategi sama melayu kena lagi notmypm,neutral
keluarga malaysia ni kepala babi apa pulak ekonomi dah ok ke kes kes covid dah ok ke ismailsabri notmypm kerajaangagal,positive
i don t get it why the minority in malaysia is their target ucapan di kaca tv tadi kemain bagi ungkapan keluarga notmypm hypocrite,neutral
keluargamalaysia notmypm kerajaangagal rakyat have trust issues with the govt,positive
lagacawan hmmm jawatan dan imej pm hanya tinggal kenangan notmypm kitajagakita,neutral
you have attacked backbenchers you have ejected people from the party who represent the socialist ideals the party was built on i will never vote for labour with you at the helm you are notmypm,positive
nasihat kepada tpm pngovtkleptokrat pru nanti kalau nak menang carilah kawasan lain jangan berani kembali ke gombak kalah teruk kang also bapadafi notmypm notmyfamily,neutral
belcherviv deborahmeaden i have never voted tory never will i agree that this is the most criminal pm cabinet in my lifetime and i was no fan of thatcher she would be disgusted with this shower there is no integrity whatsoever in this notmypm bori,negative
siv gunslinger dont humiliate dom notmypm,negative
closure what i need thedeviljudge after midnight notmypm,neutral
ciwilkie and also uneducated politician notmypm,neutral
defnot ed are he trying to make a racist family notmypm,negative
ahmadhaqam nothing is more embarrassing than cheating for pm notmypm,negative
razalitompang ismailsabri your family member is struggle for covid and you enjoy your new career notmypm,positive
awani anak muda kata notmypm,neutral
ahh shit here we go again notmypm keluargamalaysia,negative
you re okay with malaysia goverment keluargamalaysia kerajaan notmypm ismailsabri umno lawan lawantetaplawan ltl,positive
faizfadzilnoor itulah yb kalau dsai jadi pm bukan covid je turun sekali harga minyak petrol sekali turun notmypm,neutral
sampai bila pun dap akan jadi antagonis dalam kerajaan malaysia umno sentiasa menjadi protagonis yg sentiasa ungkit psl merdeka mei hak melayu keluargamalaysia rejectracism notmypm,positive
seriuslah trending notmypm what the tgk profil yg tweet retweet hmmmm nk sruh kerajaan pm respect pndangan korang tp sndri xreti nk respect keputusan ydpa apo,positive
you reek of desperation notmypm firetrudeau trudeauworstpmever endliberalcorruption,negative
racist and incompetent old fart is definitely notmypm,negative
the person who said ppl who are back from sabah doesn t need to quarantine inilah result dia sbb kan dialah malaysia jadi cam ni notmypm,neutral
bapak dafi notmypm,neutral
mkini bm coming from a guy that started digital mall based on racism not buying your bs notmypm,negative
well said dont think ours will be able to speak as eloquently notmypm,positive
hapuskan kuota bumiputera kita kan sekeluarga keluargamalaysia notmypm,neutral
dear ismailsabri kami tak nak baca cerita anak isteri pendek kata hal family anda pergi buat kerja dulu pulihkan malaysia kalau anda gagal sila letak jawatan juga notmypm,positive
jan banjari badboy biasalah salah sendiri simpan diam tapi tuding semua kt org lain as usual notmypm kerajaangagal kerajaangagal kerajaangagallagi lawantetaplawan,neutral
ngakorming notmypm kerajaangagal kerajaangagal kerajaangagallagi lawantetaplawan,neutral
hannahyeoh notmypm kerajaangagal kerajaangagal kerajaangagallagi lawantetaplawan,neutral
lagacawan notmypm kerajaangagal kerajaangagal kerajaangagallagi lawantetaplawan,neutral
so notmypm has been trending for days now in malaysia he s clearly not our pm it s unfortunate that we re back to square one now rip democracy,negative
baru first dose ni wei tapi dia nyer effect demam mcm nk mati and org cakap second dose lagi teruk effect dia aduhh korg sama tak covid notmypm,neutral
harianbecok notmypm kerajaangagal kerajaangagal kerajaangagallagi lawantetaplawan,neutral
because i d love to see this trending until he resigns notmypm,positive
mediaanalystoz abc is very quickly becoming not my abc i assume a close cousin of notmypm,neutral
notmypm kerajaaangagal kerajaangagal the next blood vormit event will be seeing the cabinet composition,neutral
themokumentary lagacawan notmypm kerajaangagal kerajaangagal kerajaangagallagi lawantetaplawan,neutral
modsya lagacawan notmypm kerajaangagal kerajaangagal kerajaangagallagi lawantetaplawan,neutral
lillahi wa billahi wa tallahi kali sumpah dgn nama allah bersaksikan raja dan rakyat tapi selalunya apa yang jadi notmypm,neutral
alhamdulillah anwar notmypm klu x serammm do allah dah selamatkan malaysia,neutral
zack rockstar notmypm kerajaangagal kerajaangagal kerajaangagallagi lawantetaplawan,neutral
azimamirulbill khairizulfadhli ismailsabri notmypm kerajaangagal kerajaangagal kerajaangagallagi lawantetaplawan,neutral
bumilangit ismailsabri tunggu report card hari ada ubah ke atau sama je notmypm,neutral
it is utterly disgusting coming out from your mouth we r not your keluarga we certainly don t need a hypocrite as our leader keluargamalaysia notmypm notmykeluarga kerajaaangagal,negative
malaysia notmypm kerajaangagal pas bn and bersatu has shown us that election competency and empathy don t matter you all they said i m always the captain worse part there are citizen still supporting this sickness and don t mind dying for these lunatics,negative
fmtoday no no keep the fighting amongst yourselves kerajaan apa ni pn umno we ll demolish you next elections give us back what we voted for notmypm,negative
ismail sabri malaysia new prime minister but he is notmypm so don t waste your time to scam us with your keluargamalaysia approach you can t fool us twice please control your covidiots well,negative
sukmawatiismail to thm apa kelas officialy join a initiative driven by pm yg according to pembangkang notmypm if the initiative fails thn they cud be blame for the failure which i dont think they can handle they are only experts in blaming but the,negative
pilothans khalidkarim notmypm we are doooommmmmm to have this,neutral
khalidkarim notmypm we are doooommmmmm to have this,neutral
notmypm and bukankeluargasaya thanks,positive
purnimaakter notmypm we are doooommmmmm to have this,neutral
kesian la anak melayu las las melayu juga yang tertipu dan dipermainkan atas sentimen bangsa dan agama bapadafi notmypm notmyfamily,neutral
kita kan keluarga keluargamalaysia notmypm,neutral
staronline don t jump the gun yet madiustangau let us see how ismailsabri cabinet is shaped up first upkomalaysia notmypm,negative
bila isu ordinan darurat ramai prtikai n pnggil previous gov derhaka bila pm baru dlantik oleh ydpa rmai plak menyalak n use notmypm bukn itu derhaka jgak ke keluargamalaysia,neutral
wake up deakin lnpfail auspol notmypm,neutral
kahkah semua pencapaian dari family je ke notmypm,neutral
the mamu ismailsabri curi konsep anwaribrahim notmypm,neutral
malaysiagazette mynohomar kalau tiada nama dipanggil bastard kerajaanbastard umnoonline ok ke notmypm,negative
lawan notmypm,neutral
vickiplatt mine does include freebuddy which i think implies complete lack of respect for that man notmypm,positive
keluargamalaysia oh suddenly we are family after utilized so many times for your own political gain please walk the talk if you can treat all the same then u come and tell me still notmypm,positive
syedakramin hahahampagas punya pm notmypm,neutral
guys give him a break la just let him have a go if he fails we know what to do next pru notmypm,negative
fmtoday notmyfamily notmypm,neutral
malaysiakini me waiting for pru after watching the pnkleptogovt run their mouth somebody put me to sleep and wake me up in pleaaaseee bapadafi notmypm notmyfamily,neutral
keluargamalaysia or not just fix this country already we don t have time to be lovey dovey you re notmypm ds but if you can do a better job than your predecessor that s good enough for me,positive
brace yourself malaysian people same crew but different captain notmypm,neutral
yusryhydrus malunya malaysia di mata dunia notmypm,neutral
preach bapadafi notmypm,neutral
beany despicable man notmypm,neutral
dmixtraxtra azryn hmetromy komen korg ni pedas amp kelakar kalo tau majalah tu mesti korg ni gen x editors patut ambik maklum jgn gelak amp jgn nak ampu sgt pm notmypm,neutral
why does he think that majority of us are dumb notmypm,negative
rasist notmypm,neutral
awani notmypm,neutral
malaun mana pulak yang hadir masa sheratonmove tahun lepas still notmypm,neutral
awani mungkin suara dafi yang didengari notmypm kerajaangagal kerajaanrecycle,neutral
awani malaysia di mata dunia tahniah ismailsabri notmypm,neutral
raidenskou notmypm,neutral
rakyat malaysia muhyiddin tak layak jadi pm muhyiddin letak jawatan ismail sabri dilantik jadi pm notmypm trending so hang nak apa sekarang ni,neutral
newsbfm malaysia di mata dunia tahniah ismailsabri notmypm,neutral
maybe he s notmypm for certain people but he actually is our leader and ourfuturepm insya allah,positive
newsbfm notmypm kerajaangagal,neutral
mhd zuhair notmypm,neutral
malaysiagazette notmypm kerajaangagal,neutral
ntonyjo cant believe msia has a racist pm notmypm,negative
notmypm yet still the pm of malaysia redha,neutral
sad but true notmypm newspicks politics malaysia,negative
tgsyakirr katak dalam naruto tu semua master in sage jutsu semua ada function macam langit ngan bumi beza such an insult to them being compared dengan penyebab second wave kita sini huu notmypm,negative
keluargamalaysia sudah mati kerana covid thanks to individu yang pulang dari sabah tidak perlu menjalani kuarantin wajib selama hari ismailsabri notmypm,positive
elill e ismailsabri harini sahaja rakyat malaysia keluarga mati sepanjang mail notmypm menjadi menteri pertahanan rakyat malaysia mati now dekat mana pendekatan kekeluargaan tu,neutral
faridsmj pelancau dia la notmypm,neutral
nizambakeri pusing pusing kita kan keluargamalaysia notmypm,neutral
ceh keluarga pulak ingat dia dom toretto ke kakidvd notmypm,neutral
lets see if family will stop policing the rakyat and start acting on policies that will actually work the chances with this guy very slim notmypm,negative
incongruence tahap gaban notmypm,neutral
do not fall into his sugarcoated trap we know what we want actions that speak louder than words actions that actually fit with today s ongoing problems this isn t fast amp furious him being dom amp thinking jumping over a ravine w a dodge charger will solve everything notmypm,negative
thevibesnews ismailsabri notmypm we are doooommmmmm to have this,neutral
awizul notmypm we are doooommmmmm to have this,neutral
rebeldravidian notmypm we are doooommmmmm to have this,neutral
parimala maniam notmypm we are doooommmmmm to have this,neutral
raidenskou skumar notmypm,neutral
the government picked a new prime minister for malaysia and it s not looking good for them right now notmypm,positive
create the problem offer the solution notmypm keluargamalaysia,positive
notmypm notmyfamily youworkus,neutral
awani bercakap depan cermin ke sialll notmypm,neutral
also can we stop with this fetishtization of elected personnels as family member kalau i dpt keluarga mcm ko dah disown myself from u notmykeluarga notmypm nospammail,negative
rajin betul reply semua tweet yg ada hestek notmypm bantuan kerajaan tu saya tak layak pun bagi peluang kpd yg lebih memerlukan,neutral
sinaronline hipokrit cheap politicial notmypm,neutral
bharianmy dengar tp buat x tau xde tindakan pn x gune notmypm,neutral
aku kibarkan bendera hitam dengan bendera jalur gemilang sekali nanti mknjpm notmypm lawan lawantetaplawan,neutral
so lepas lantik jd pm duk meeting nk pilih nama lah patut settle hal covid ni buat total lockdown dgn bantuan penuh pada rakyat notmypm keluargamalaysia,neutral
notmypm notmypm maire bocana punde,neutral
you started with thanking your friends from all parties and not the rakyat their support more crucial then the rakyat s voice kan and you said will listen to us i doubt that notmypm,positive
the white wolf notmypm we are doooommmmmm to have this,neutral
keluarga malaysia tapi sentimen yg kau main kan xmenunjukkan kau ketua keluarga harmonikan bukan menyalakan take ur time n show us something but anyhow u still notmypm forever,neutral
ismail sabri is notmypm,neutral
not even showing how much tweets it have jkom approved tactics love to see it notmypm,positive
another bapa perutusan notmypm,neutral
setan mana pulak trending kan keluargamalaysia ni setan setan yang kaki jilat je lah yang sokong benda bodoh ni hahaha aku bukan keluargamalaysia tapi aku keluargakorea not malaysia notmypm pm gagl kerajaan barisan perikatan sial nasional gagl,positive
ismail sabri guna perkataan keluarga malaysia lmao how are we even related even he begged many to get support to support him being the pm dont tarnish the word keluarga notmypm,positive
saya akan memastikan kepercayaan rakyat kepada kerajaan saya tidak akan di sia sia kan ismail sabri look that kepercayaan you got are not from rakyat its from your friends no wakil rakyat do any survey or ask the rakyat who rakyat wants as their pm you are notmypm,positive
nst online he is not a pm material to me notmypm,neutral
abah family nah you not my fam ismailsabri maybe i will change my mind if we can have coffee at old town white coffee notmypm,negative
keluarga malaysia merentasi bangsa amp agama jangan lawak la brader bapadafi notmypm notmyfamily,neutral
eleh dulu masa tun dengan ds mahiaddin jadi pm ada gak hashtag notmypm ni zaman tunku sampai ds abdullah badawi takde sebab masa tu hashtag ni pun tak wujud lagi,neutral
is keluarga malaysia a copy ori of malaysia notmypm,neutral
show watching david speers rerun interview notmypm he is actually gunning for him good interview what the fk,positive
keluargamalaysia ew no you re not a family im not gonna admit any racist as a family of mine notmypm,negative
did someone said keluargamalaysia wtf malaysia prime minister situation now be like keluar mulut buaya masuk mulut harimau notmypm,negative
sedarlah brp ahli pilitik di parti itu benarlah juang kpd hak melayu miskin sj nk dpt kuasa sdr je notmypm keluargamalaysia,positive
awani ismailsabri i don t see the charisma aura of him as our pm he is not a pm material he s not a pm for the people he is a umno s pm notmypm,neutral
umno trying to be inclusive well we should test how inclusive they can be right with his track record the fa ade will fall off soon enough umno cant run from politic pecah perintah that s how they rule notmypm,positive
kalau dengar kenapa x resign notmypm kerajaangagal kerajaanderhaka,negative
nope not going to tolerate racism i never spoke anything about race all i wrote was will we get a pm like tunku abdul rahman yg korang beriya iya nak jadi racist apa hal bapa kemerdekaan pun korang boleh cakap not the model muslim i ve no words notmypm lawantetaplawan,negative
tak suka tengok gigi dia notmypm,neutral
sesama oligarki saling menyokong tahniah buat kedua negara notmypm notmypresident,neutral
rasa nk muntah dgr ucapan notmypm,neutral
zarul that s very easy for him to get belas kasihan but in fact notmypm we are doooommmmmm to have this,positive
fadzililim ismailsabri of course not notmypm we are doooommmmmm to have this,neutral
saya mmg tak suka wakil rakyat mcm ni kamu lupa ke mmg kita ni negara byk bangsa deal with it lah jgn mcm ni ajar la rakyat sama kerja kuat bukan benci mcm ni notmypm,neutral
viveksukumaran notmypm we are doooommmmmm to have this,neutral
awani ismailsabri kita ni family dgn dafi jovian dah ke alhamdulillah notmypm kerajaangagal,neutral
ntonyjo notmypm we are doooommmmmm to have this,neutral
sabri talking about keluarga malaysia is like that one relative that shows up when they hear you ve won the lottery notmypm,positive
tak best la hari duk trending hashtag notmypm yakin ke kalau pm tepi naik jadi pm negara akan jadi perfect seperti yg korang inginkan please hormat keputusan ydpa dalam membuat keputusan keputusan ni bukan memandai ikut kepala dia ja,positive
what unites malaysian other than food this notmypm,neutral
awani ismailsabri kami pon tawar agar pm ni letak jawatan je lah notmypm kerajaangagal,neutral
awani ismailsabri two words for you dong zong bapadafi notmypm no matter how much cerita u spin on that dias,negative
throwback ismailsabri u in racists gtfo we dont vote for you notmypm keluargamalaysia,negative
notmypm notmykeluarga,neutral
sorry u r not my family notmypm,negative
intonation and tone yilekk dah sama macam so dafi menyanyi my year old can do better notmypm lebih kurang je dgn announcement pkpb pkp pkpd dia hari hari oh my,positive
today he said we are keluarga notmypm,neutral
awani ismailsabri keluarga konon tapi racist nak mapus notmypm,negative
another incompetent government it will drag our economy down the drain notmypm,negative
perutusan sampai mampus its the blind leading the blind to their demise democracyisdead lawan notmypm,negative
pm pun macam ni mula mula take action dulu la baru sembang notmypm,neutral
awani ismailsabri yang terbaik notmypm kerajaangagal kerajaanrecycle,neutral
zack rockstar ismailsabri betul notmypm,neutral
heartticker notmypm we are doooommmmmm to have this,neutral
a idiot leads this country notmypm facebook supporters are on another level of jilat,negative
notmypm kerajaangagal,neutral
vaishu notmypm we are doooommmmmm to have this,neutral
qwynn notmypm we are doooommmmmm to have this,neutral
mysrtmz notmypm we are doooommmmmm to have this,neutral
saya lah bapa keluarga malaysia ismail sabri notmypm,neutral
hamzahsyakirul notmypm we are doooommmmmm to have this,neutral
sepenggal kita telah melalui peralihan kerajaan dan perdana menteri sebenarnya landskap politik tersebut adalah merugikan negara wow confident ya ismail sabri ni notmypm,positive
bintu ramli notmypm we are doooommmmmm to have this,neutral
yg bangang dok notmypm tu dulu rajin kerajaantumbang pmgagal bagai,neutral
the longer i look at his face the more i m convinced that he s actually peter pettigrew notmypm,positive
wilee notmypm we are doooommmmmm to have this,neutral
raidenskou notmypm we are doooommmmmm to have this,neutral
thegoddess notmypm we are doooommmmmm to have this,neutral
awani ismailsabri notmypm notmykeluarga,neutral
reaksi dia adalah emosi satu malaysia sekarang i feel you brother notmypm ismailsabri,neutral
tak tahu la hitam sangat ke hati aku ni sampai tengok muka ismail sabri kat tv pun i rasa menyampah gila notmypm,neutral
pergi mampus dengan notmypm macam la orang kisah,neutral
i was trying my best to be positive but you gotta be joking ismailsabri is our th pm this is the beginning of a great fall check my video for top reasons why he can t last notmypm kerajaangagal notmyprimeminister kerajaantumbang,positive
notmypm tu hak masing tapi jgnlah smpai menghina mencaci bercakap tidak adil keputusan ydpa yang mengikut undang demokrasi berparlimen raja berpelembagaan yer tunggu pru yg tinggal bulan lagi tuk undi kerajaan pilihan rakyat okay stop berpolitik buat masa sekarang,positive
in his speech ismailsabri talks about how you can marry into family but forgets in malaysian some family force you to convert to their believes if not the marriage is null i guess this is the type of family he wants follow his way if not cannot be part of it notmypm,neutral
malaysiakini notmypm kerajaanderhaka,neutral
bendera mencerminkan negara notmypm ismailsabri,neutral
fmtoday notmypm kerajaanderhaka kerajaangagal,neutral
ucapan notmypm tanpa pembinaan polisi dan dasar kerajaan yang utuh nampak lemah sangat malaysia perlu pemimpin negara bukan pemimpin keluarga,neutral
errrr definitely nope notmypm notmyfamily,positive
anwar the heavenly king notmypm tsmusahassan,positive
notmypm cringey ass pdf speech,negative
awani notmypm kerajaaangagal kerajaanrecycle,neutral
keluarga malaysia ismailsabri dei enough la what is this cibai ness sis pls stop with the family bullshit notmypm,negative
bukankah sebelum ini ada jawatankuasa tangani covid yang dianggotai parti politik pembangkang cuma khabarnya jawatankuasa ini tiada fungsi sebab kabinet menteri tidak menggunakan jawatankuasa ini dengan sebaiknya notmypm,neutral
you wanted abah out now you shall pay the price people notmypm,negative
awani ismailsabri notmypm kerajaangagal,neutral
awani ismailsabri notmypm kerajaanrecycle,neutral
ade makcik kat group whatsapp taman suruh org tgk ucapan notmypm mual tekak,neutral
sampah sama tong ja lain notmypm,neutral
saya menggunakan pendekatan keluarga malaysia kerana frasa ini sifatnya lebih inklusif ia merentasi sempadan agama bangsa dan kaum ismail sabri the certified racist apa apa pun kita harap dia boleh lead malaysia dengan baik tapi dia tetap jugak notmypm,negative
diam lah notmypm,neutral
wow power pm baru kiter kuat main isu perkauman ghupenyaaa notmypm,positive
awani ismailsabri notmypm notmyfamily,neutral
amrlamnnn beda nya juga ia bukan siaran langsung recorded notmypm,neutral
boring gila jenis baca pdf ni zero charisma notmypm,negative
from sedara sedari jadi seluruh keluarga malaysia sekalian ismail s notmypm,neutral
hihi notmypm,neutral
notmypm zack rockstar iswardymorni syedshah,neutral
thevibesnews ismailsabri malaysians please take care of each other don t expect much from this govt too numbers and lockdowns will continue kitajagakita kerajaangagal benderaputih notmypm,positive
at least apologise for your past remarks as a start notmypm,positive
jika ingin menggunapakai terma keluarga gunakan dengan sebaiknya bukan dengan seruan retorik politik murahan sekarang bukan zaman dahulukala institusi umno mendoktrin masyarakat sebegitu rupa dengan kebebalan notmypm,neutral
umonline notmypm,neutral
is all superficial notmypm,neutral
politik murahan adalah menggunakan istilah keluarga sebagai idea asas dalam pentadbiran negara pentadbiran kabinet menteri tidak boleh disamakan dengan keluarga amat jauh sekali notmypm,neutral
dato ismail saberi notmypm bapadafi bapakeluargamalaysia keluargamalaysia gitu,neutral
keluarga malaysia betul la ni dah jadi adik dafi notmypm,neutral
notmypm is on tv,neutral
kegagalan pak mail notmypm,neutral
now watching the perutusan from notmypm ehhh tak tau malu dok bgtau berterima kasih bnyk atas sokongan bla bla bla bla bla,neutral
confirm tomorrow morning pm is gonna clock in at am do a photo op and then maybe make a speech what s covid notmypm,neutral
yang pakai notmypm ni kalau boleh tulis lah sekali siapa ismypm asyik bukan pm dia je nak jugak tahu siapa yang dia nak jadi pm,neutral
the best choice says who you gtfo what happened to this being a democratic country didnt know we were living in a dictatorship notmypm,positive
do not forget this umno youth exco pure racist prick kerajaanderhaka notmypm kerajaangagal,negative
not sure how true this is but if it is then god save malaysia we are stuck with the same garbage only the garbage truck driver has changed notmypm ismailsabri kerajaangagal,positive
bharianmy pejaofperak jadi penasihat sama ismailsabri macam ko nasihat kat muhyiddinyassin nasihat ismailsabri pun undur notmypm,neutral
staronline ismailsabri notmypm,neutral
kakak kamala haris lupa nk visit malaysia ke malaysia tak penting ke cc ismailsabri please judge the condition of our nation by yourself notmypm kerajaangagal kerajaangagal,positive
mana video sape muhyiddin aku tak kenal dia like we need a remake now notmypm,positive
justice wkhuzairey dah dah lah tu babi orang skrg cakap psal notmypm kau sibuk sebarkan ajaran sesat bodoh betul kau ni bodoh macam azmin ali,positive
prediction once the category covid patient numbers drop and the icu gets freed up due to the vaccination rates all thanks to kj this umno pn will no doubt start taking credit for winning the war against covid and use it to fuel their ge campaign notmypm,positive
only in malaysia case covid dah cecah k still takde solution dari gomen waima negeri nz tak sampai kes dah establish lockdown kaw kaw this government is a joke notmypm,positive
the system notmypm,neutral
obefiend notmypm,neutral
ini ke pm baru xsenonoh betul main isu agama kaum bangsa utk kepentingan politik cheap notmypm notmypm notmypm,neutral
ko nampak same shit different day same cirit different day lawan notmypm tsmy kerajaangagal,negative
pm baru ni dah boleh dah stop up citer peribadi anak cucu isteri semua ni org nak dengar skg ialah langkah proaktif menangani covid walaupun aku tak yakin dgn kerajaan ni notmypm,negative
kenapa cakap diri sendiri ni pakcik abdulhadiawang alhamdulillah akhirnya sedar juga diri tu munafik bertaubatlah pakcik pakai kopiah tak menjamin syurga notmypm,neutral
sinaronline kenapa cakap diri sendiri ni pakcik abdulhadiawang alhamdulillah akhirnya sedar juga diri tu munafik bertaubatlah pakcik pakai kopiah tak menjamin syurga notmypm,neutral
always forcus on yourself no matter the situation develop your self notmypm enough is enough,negative
obviously ismail sabri is notmypm,neutral
pm taught us not involved in chinese but at the end the economy was supported by chinese businessmen notmypm,positive
kelmarin crita pasal cucu dia harini wife plk esok mungkin jiran lusa kucing dia notmypm,neutral
takberminat notmypm,neutral
sampai bila entah nak cerita pasal family engko je notmypm,neutral
makes you so proud doesn t it notmypm,positive
newsbfm notmypm,neutral
for what kalau you jadi pm tapi you have no respect from rakyat notmypm,positive
fahmi fadzil notmypm anuwar pon keliru nn bulan takkan tersilap kira numbers kot,neutral
fmtoday notmypm,neutral
thevibesnews drzahidhamidi y all here that umno kerajaangagal bapadafi notmypm,neutral
mknjpm ismailsabri jpmgov jpenerangan notmypm,neutral
kewujudan prof kangkung dimalaysia tdak bole dnafikan statement kankungkungkang ni laaa yg buat marhaen berbelit nk fham cukup ko follow saja la titah draja semua akan akur notmypm,neutral
prime ministers are elected by the people not appointed by a group of politicians who failed the country multiple times notmypm,negative
this is the new prime minister of malaysia part of the losing coalition back during the general elections see for yourself how toxic he is inventing new terms like bangsa dap to mask his pettiness towards the minorities of malaysia notmypm,negative
notmypm if your mentality still stuck with racism things then you are in low class mindset,negative
setan bertopengkan babi bila pemain politik malaysia berselfie hasilnya terang lagi bersuluh notmypm politikgagal kerajaanrecycle cb,neutral
notmypm kerajaangagal is working,neutral
kkmputrajaya merdekakah setiap helai bantu untuk sumbangkan sekampit beras atau sama nilai kepada yng memerlukan boleh lihat di pinned tweet nama anda sebagai penyumbang akan tersenarai di laman web notmypm notmygov che,neutral
one of the most racist pm ever in our history and dumb notmypm,negative
no thanks notmypm,positive
mesti di re tweet ni bapadafi notmypm,neutral
awani masok jadi peem sampai sekarang tak pernah minta maaf masa dia jadi sebahagian dari kerajaangagal amp tak pernah mengakui kegagalan nya menyebabkan berlakunya gelombang ke akibat prn sabah sebab dia notmypm,neutral
bebal notmypm,neutral
motif notmypm korg nk pm mcmane mana yg korg dahulukan nyawa or pm fak laa perangai org sekrg babi tau tak babi,neutral
pak mail tu law graduate from um ade legal career of years prior joining politics notmypm,positive
what can you expect from the person who started the nd wave from sabah election let former finance minister answered some serious questions in the parliament failed to curb covid cases amp definitely never think of rakyat s struggle notmypm,negative
i saw a tweet saying notmypm should not be trending because we need to respect the gov please la first things first respect is not given it is earned the gov has only dissapointed us again and again and u expect us to respect them bruh fak dat,positive
baru sehari gais hahahahaha racial card is one and only thing he is capble to play with notmypm,positive
tengkusani eddydaud the notmypm hashtag is not exclusively used by malaysians either,neutral
ptg ni pm kena baca doa qunut nazilah baru nampak lebih hebat dari pm notmypm,negative
this from normboy says it all and a gr critique or should that be character assassination of our sic pm of how he came across on insiders today i insist that we all votethemallout notmypm,negative
cabinetmalaysia notmypm kerajaangagal,neutral
ilohille notmypm,neutral
